date,year,Pollster,Dates conducted,Client,Area,Sample size,Lab,Con,Ref,LD,Grn,SNP,PC,Others,Lead
2024-12-23,2024.0,Deltapoll,19–23 Dec,The Mirror,GB,1552.0,29.0,25.0,21.0,12.0,8.0,4.0,0.0,1.0,4.0
2024-12-20,2024.0,Opinium,18–20 Dec,The Observer,GB,1472.0,29.0,23.0,22.0,11.0,10.0,3.0,1.0,2.0,6.0
2024-12-19,2024.0,Techne,18–19 Dec,,UK,1642.0,27.0,26.0,21.0,12.0,7.0,2.0,,5.0,1.0
2024-12-16,2024.0,Survation,12–16 Dec,,UK,2030.0,30.0,25.0,20.0,11.0,7.0,2.0,1.0,2.0,5.0
2024-12-12,2024.0,Techne,11–12 Dec,,UK,1634.0,27.0,25.0,22.0,11.0,7.0,2.0,,6.0,2.0
2024-12-11,2024.0,Find Out Now,11 Dec,,GB,2659.0,26.0,23.0,25.0,11.0,9.0,3.0,1.0,2.0,1.0
2024-12-10,2024.0,More in Common,6–10 Dec,,GB,2432.0,26.0,26.0,19.0,13.0,8.0,3.0,1.0,4.0,
2024-12-09,2024.0,Stonehaven (MRP),6–9 Dec,,GB,2072.0,28.0,24.0,21.0,13.0,8.0,3.0,1.0,2.0,4.0
2024-12-06,2024.0,Techne,5–6 Dec,,UK,1644.0,27.0,25.0,21.0,12.0,7.0,2.0,,6.0,2.0
2024-12-04,2024.0,Find Out Now,4 Dec,,GB,2607.0,23.0,26.0,24.0,11.0,9.0,3.0,1.0,2.0,2.0
2024-12-02,2024.0,More in Common,29 Nov – 2 Dec,,GB,2002.0,26.0,28.0,21.0,13.0,7.0,3.0,1.0,2.0,2.0
2024-11-29,2024.0,Opinium,27–29 Nov,The Observer,GB,2050.0,29.0,25.0,21.0,10.0,9.0,3.0,1.0,2.0,4.0
2024-11-28,2024.0,Techne,27–28 Nov,,UK,1648.0,28.0,27.0,18.0,13.0,6.0,2.0,,6.0,1.0
2024-11-27,2024.0,Find Out Now,27 Nov,,GB,2316.0,25.0,27.0,22.0,12.0,9.0,3.0,1.0,2.0,2.0
2024-11-27,2024.0,BMG Research,26–27 Nov,The i Paper,GB,1531.0,29.0,27.0,20.0,12.0,7.0,3.0,0.0,2.0,2.0
2024-11-27,2024.0,More in Common,26–27 Nov,,GB,1972.0,27.0,30.0,18.0,12.0,8.0,2.0,1.0,2.0,3.0
2024-11-21,2024.0,Techne,20–21 Nov,,UK,1632.0,29.0,27.0,17.0,12.0,7.0,2.0,,6.0,2.0
2024-11-21,2024.0,More in Common,19–21 Nov,,GB,2002.0,25.0,28.0,19.0,13.0,8.0,3.0,1.0,3.0,3.0
2024-11-18,2024.0,Deltapoll,14–18 Nov,,GB,1749.0,29.0,27.0,18.0,12.0,8.0,4.0,1.0,1.0,2.0
2024-11-14,2024.0,JL Partners,13–14 Nov,The Sun / Politico,GB,2024.0,27.0,26.0,20.0,12.0,9.0,3.0,,3.0,1.0
2024-11-14,2024.0,Techne,13–14 Nov,,GB,1643.0,28.0,27.0,17.0,13.0,7.0,2.0,,6.0,1.0
2024-11-13,2024.0,Opinium,11–13 Nov,The Observer,GB,1646.0,30.0,24.0,21.0,12.0,8.0,3.0,1.0,1.0,6.0
2024-11-11,2024.0,More in Common,8–11 Nov,,GB,2007.0,27.0,29.0,19.0,11.0,8.0,2.0,1.0,4.0,2.0
2024-11-07,2024.0,Techne,6–7 Nov,,UK,1636.0,29.0,25.0,18.0,13.0,7.0,2.0,,6.0,4.0
2024-12-16,2024.0,More in Common (MRP),31 Oct – 16 Dec,,GB,11024.0,25.0,26.0,21.0,14.0,8.0,2.0,1.0,3.0,1.0
2024-11-01,2024.0,More in Common,30 Oct – 1 Nov,,GB,2007.0,28.0,26.0,18.0,14.0,8.0,3.0,1.0,3.0,2.0
2024-10-31,2024.0,Opinium,30–31 Oct,The Observer,GB,1548.0,31.0,24.0,20.0,10.0,10.0,2.0,0.0,3.0,7.0
2024-10-31,2024.0,BMG Research,30–31 Oct,The i Paper,GB,1511.0,28.0,29.0,17.0,13.0,8.0,2.0,1.0,2.0,1.0
2024-10-31,2024.0,Techne,30–31 Oct,,UK,1632.0,30.0,24.0,18.0,14.0,7.0,2.0,,5.0,6.0
2024-10-24,2024.0,Techne,23–24 Oct,,UK,1644.0,29.0,24.0,19.0,13.0,7.0,2.0,,6.0,5.0
2024-10-18,2024.0,Opinium,16–18 Oct,The Observer,GB,1565.0,31.0,24.0,20.0,12.0,8.0,2.0,1.0,2.0,7.0
2024-10-17,2024.0,Techne,16–17 Oct,,UK,1636.0,28.0,25.0,19.0,13.0,7.0,2.0,,6.0,3.0
2024-10-13,2024.0,JL Partners,11–13 Oct,The Telegraph,GB,2000.0,29.0,25.0,19.0,14.0,7.0,2.0,1.0,2.0,4.0
2024-10-10,2024.0,Techne,9–10 Oct,,UK,1651.0,29.0,24.0,19.0,12.0,7.0,2.0,,7.0,5.0
2024-10-10,2024.0,More in Common,9–10 Oct,The Times,GB,2000.0,27.0,27.0,21.0,13.0,7.0,2.0,1.0,1.0,
2024-10-07,2024.0,More in Common,5–7 Oct,Politico,GB,2023.0,29.0,28.0,19.0,11.0,7.0,2.0,0.0,3.0,1.0
2024-10-07,2024.0,Deltapoll,4–7 Oct,,GB,2108.0,29.0,25.0,18.0,14.0,8.0,4.0,1.0,1.0,4.0
2024-10-04,2024.0,Opinium,2–4 Oct,The Observer,GB,1491.0,31.0,24.0,20.0,11.0,8.0,3.0,,2.0,7.0
2024-10-03,2024.0,BMG Research,2–3 Oct,i,GB,1562.0,30.0,25.0,20.0,13.0,7.0,3.0,0.0,1.0,5.0
2024-10-03,2024.0,Techne,2–3 Oct,,UK,1643.0,31.0,23.0,18.0,13.0,7.0,2.0,,6.0,8.0
2024-09-26,2024.0,Techne,25–26 Sep,,UK,1638.0,32.0,22.0,18.0,13.0,7.0,2.0,,6.0,10.0
2024-09-25,2024.0,More in Common,24–25 Sep,,GB,2080.0,30.0,26.0,18.0,13.0,8.0,3.0,1.0,2.0,4.0
2024-09-23,2024.0,Verian,18–23 Sep,,GB,1258.0,31.0,26.0,17.0,13.0,7.0,2.0,1.0,2.0,5.0
2024-09-19,2024.0,Techne,18–19 Sep,The Independent,UK,1641.0,33.0,21.0,18.0,13.0,7.0,2.0,,6.0,12.0
